emp_no,first_name,last_name,birth_date,from_date,to_date,title
10095,Hilari,Morton,03/01/1965,10/03/1994,01/01/9999,Senior Staff
10122,Ohad,Esposito,19/01/1965,06/08/1998,01/01/9999,Technique Leader
10291,Dipayan,Seghrouchni,23/01/1965,30/03/1987,01/01/9999,Senior Staff
10476,Kokou,Iisaka,01/01/1965,20/09/1987,01/01/9999,Senior Staff
10663,Teunis,Noriega,09/01/1965,12/02/1999,01/01/9999,Technique Leader
10762,Lech,Himler,19/01/1965,21/01/1992,01/01/9999,Senior Staff
10933,Juyoung,Seghrouchni,24/01/1965,02/08/1993,01/01/9999,Senior Engineer
12155,Keiichiro,Glinert,21/01/1965,16/09/1993,01/01/9999,Engineer
12408,Rasiah,Sudkamp,10/01/1965,18/04/1995,01/01/9999,Senior Engineer
12643,Morrie,Schurmann,30/01/1965,31/12/1998,01/01/9999,Staff
13499,Kazuhiko,Sidou,16/01/1965,01/09/1991,01/01/9999,Technique Leader
14075,Denny,Tchuente,03/01/1965,30/05/1991,01/01/9999,Assistant Engineer
14104,Sudhanshu,Demian,03/01/1965,23/07/1994,01/01/9999,Senior Staff
14127,Magdalena,Cannard,10/01/1965,22/04/1994,01/01/9999,Engineer
14158,Caolyn,Setiz,22/01/1965,06/02/1990,01/01/9999,Senior Staff
14476,Sastry,Marrevee,19/01/1965,25/09/1999,01/01/9999,Engineer
14907,Nakhoon,Luga,14/01/1965,18/12/1986,01/01/9999,Senior Staff
15050,Nikolaos,Kruskal,18/01/1965,17/12/1990,01/01/9999,Engineer
15058,Bouchung,Bugrara,30/01/1965,18/06/1990,01/01/9999,Senior Staff
15413,Arvin,Rabejac,17/01/1965,01/01/1994,01/01/9999,Engineer
16461,Remmert,Schahn,14/01/1965,06/09/1986,01/01/9999,Senior Staff
16528,Gaurav,Swick,21/01/1965,07/05/1996,01/01/9999,Assistant Engineer
17013,Morris,Garigliano,15/01/1965,24/05/1995,01/01/9999,Senior Staff
17206,Berry,DeMori,02/01/1965,27/12/1992,01/01/9999,Engineer
17369,Yaghout,Kenevan,31/01/1965,15/09/2000,01/01/9999,Engineer
17447,Zengping,Boreale,11/01/1965,16/12/1998,01/01/9999,Staff
17731,Gennady,Roison,16/01/1965,06/12/1989,01/01/9999,Assistant Engineer
17970,Filipp,Carrere,06/01/1965,09/01/1989,01/01/9999,Technique Leader
17988,Mabhin,Calkin,31/01/1965,30/11/1989,01/01/9999,Engineer
18021,Adil,Matzke,07/01/1965,08/05/1987,01/01/9999,Engineer
18424,Filipp,Rousseau,19/01/1965,07/06/1995,01/01/9999,Engineer
18583,Stafford,Honglei,03/01/1965,16/08/1998,01/01/9999,Staff
18617,Surveyors,Crouzet,21/01/1965,24/04/1989,01/01/9999,Senior Staff
18810,Taiji,Jarecki,09/01/1965,27/06/1991,01/01/9999,Engineer
19236,Elzbieta,Morris,24/01/1965,12/07/1988,01/01/9999,Engineer
19350,Satoru,Yoshizawa,19/01/1965,27/03/1994,01/01/9999,Senior Staff
19803,Ziva,Kowalchuk,30/01/1965,13/06/1987,01/01/9999,Engineer
